State,County,POPESTIMATE2020,POPESTIMATE2021,DEATHS2020,DEATHS2021
Colorado,Gilpin County,5810,5873,8,39
Colorado,Grand County,15733,15860,14,70
Colorado,Gunnison County,16945,17281,22,100
Colorado,Hinsdale County,794,781,0,5
Colorado,Huerfano County,6810,6920,38,128
Colorado,Jackson County,1376,1363,3,9
Colorado,Jefferson County,582928,579581,1314,5518
Colorado,Kiowa County,1452,1452,5,14
Colorado,Kit Carson County,7064,6950,29,78
Colorado,Lake County,7409,7407,11,32
Colorado,La Plata County,55642,56250,98,477
Colorado,Larimer County,359686,362533,695,2759
Colorado,Las Animas County,14564,14633,53,183
Colorado,Lincoln County,5669,5688,11,55
Colorado,Logan County,21495,21487,79,276
Colorado,Mesa County,155939,157335,421,1877
Colorado,Mineral County,867,924,5,6
Colorado,Moffat County,13267,13185,40,131
Colorado,Montezuma County,25858,26175,70,341
Colorado,Montrose County,42798,43168,118,559
Colorado,Morgan County,29065,29008,102,300
Colorado,Otero County,18667,18594,61,290
Colorado,Ouray County,4869,5035,16,22
Colorado,Park County,17421,17720,24,142
Colorado,Phillips County,4534,4512,14,68
Colorado,Pitkin County,17342,17348,15,55
Colorado,Prowers County,11986,11996,49,142
Colorado,Pueblo County,168467,169622,590,2283
Colorado,Rio Blanco County,6518,6476,16,42
Colorado,Rio Grande County,11538,11408,33,142
Colorado,Routt County,24839,25091,24,139
Colorado,Saguache County,6383,6471,25,84
Colorado,San Juan County,710,733,3,9
Colorado,San Miguel County,8055,8074,8,30
Colorado,Sedgwick County,2390,2336,13,37
Colorado,Summit County,30971,30941,22,80
Colorado,Teller County,24726,24926,53,234
Colorado,Washington County,4815,4861,18,71
Colorado,Weld County,331358,340036,558,2340
Colorado,Yuma County,9979,9941,30,118
Connecticut,Connecticut,3600260,3605597,9428,37646
Connecticut,Fairfield County,955895,959768,2129,8696
Connecticut,Hartford County,897932,896854,2525,9904
Connecticut,Litchfield County,184874,185000,538,2254
Connecticut,Middlesex County,163923,164759,459,1822
Connecticut,New Haven County,863498,863700,2440,9516
Connecticut,New London County,268248,268805,709,2938
Connecticut,Tolland County,149650,150293,306,1254
Connecticut,Windham County,116240,116418,322,1262
Delaware,Delaware,991886,1003384,2649,11655
Delaware,Kent County,182256,184149,479,2119
Delaware,New Castle County,570718,571708,1405,5936
Delaware,Sussex County,238912,247527,765,3600
District of Columbia,District of Columbia,690093,670050,1387,6552
District of Columbia,District of Columbia,690093,670050,1387,6552
Florida,Florida,21569932,21781128,63596,255553
Florida,Alachua County,278684,279238,582,2522
Florida,Baker County,28309,28715,79,310
Florida,Bay County,174461,179168,525,2238
Florida,Bradford County,28364,28540,89,369
Florida,Brevard County,608007,616628,2252,8659
Florida,Broward County,1941516,1930983,4956,19099
Florida,Calhoun County,13615,13641,57,207
Florida,Charlotte County,187960,194843,831,3500
Florida,Citrus County,154403,158083,873,3242
Florida,Clay County,218797,222361,579,2351
Florida,Collier County,377079,385980,1034,4761
Florida,Columbia County,69889,70385,231,1030
Florida,DeSoto County,34080,34408,112,455
Florida,Dixie County,16805,17102,55,252
Florida,Duval County,996373,999935,2627,10722
Florida,Escambia County,322424,322390,1108,4260
Florida,Flagler County,115968,120932,459,1624
Florida,Franklin County,12456,12572,54,152
Florida,Gadsden County,43701,43714,141,570
Florida,Gilchrist County,17928,18360,59,229
Florida,Glades County,12179,12234,34,195
Florida,Gulf County,14181,14363,61,225
Florida,Hamilton County,13988,13993,62,178
Florida,Hardee County,25313,25425,62,230
Florida,Hendry County,39707,40313,99,387
Florida,Hernando County,195508,200638,842,3324
Florida,Highlands County,101222,103296,524,1880
Florida,Hillsborough County,1463380,1478194,3437,14264
Florida,Holmes County,19622,19784,75,298
